family,family_name,n_languages,nodes_mean,nodes_std,edges_mean,edges_std
araw1281,Arawakan,8,542.25,193.1259766503276,2249.125,897.2078016188412
maya1287,Mayan,8,447.0,61.873142107749096,2256.375,332.87918765135885
otom1299,Otomanguean,8,354.0,102.82578887196954,1721.625,261.7113663670615
pano1259,Panoan,7,548.4285714285714,178.32073831802546,2214.4285714285716,967.7649261989982
quec1387,Quechuan,13,652.6923076923077,97.19515129828974,2301.6153846153848,383.0305772088217
