iso_code,family,name,latitude,longitude
pim,algi1248,Powhatan,36.99422,-77.20752
pyn,pano1259,Poyanáwa,-7.46909,-73.0758
prz,sign1238,Providencia Sign Language,13.348416,-81.373888
pbm,otom1299,Puebla and Northeastern Mazatec,18.2806,-96.9894
psl,sign1238,Puerto Rican Sign Language,18.4592,-66.0919
qxp,quec1387,Puno Quechua,-14.608,-70.2084
tsz,tara1323,Purepecha,19.2467,-101.631
puy,chum1262,Purisimeño,34.6866,-120.431
prr,puri1261,Puri,-22.175627,-44.711336
pur,tupi1275,Puruborá,-11.4226,-62.4358
kjb,maya1287,Q'anjob'al,15.6846,-91.3043
alc,kawe1237,Qawasqar,-49.303195,-74.707536
qua,siou1252,Quapaw,34.15,-92.0
fcs,sign1238,Quebec Sign Language,45.99654,-74.87193
yum,coch1271,Quechan,32.7859,-114.599
otq,otom1299,Querétaro Otomi,20.1396,-100.115
pxm,book1242,Quetzaltepec Mixe,16.92147,-95.67269
zpj,otom1299,Quiavicuzas Zapotec,16.7565,-95.6761
qui,chim1311,Quileute,47.9106,-124.603
qun,sali1255,Quinault,47.4214,-124.16
chq,otom1299,Quiotepec Chinantec,17.5621,-96.602
ztq,otom1299,Quioquitani-Quieri Zapotec,16.3416,-96.1555
rma,chib1249,Rama,11.5007,-83.8571
zor,mixe1284,Northeast Chiapas Zoque,17.2953,-93.1006
rem,pano1259,Remo of the Moa river,-7.33333,-74.0833
rgr,araw1281,Resígaro,-1.169535,-71.60524
rey,pano1259,Reyesano,-14.8333,-67.0833
rkb,nucl1710,Rikbaktsa,-11.1887,-58.1942
zar,otom1299,Rincón Zapotec,17.4451,-96.3144
hrx,indo1319,Hunsrik,-29.3255,-51.7219
rmv,arti1236,Romanova,,
rna,unat1236,Runa,2.74999,-76.5
sae,namb1299,Sabanê,-12.9857,-60.335
quv,maya1287,Sacapulteco,15.274,-91.109
acf,indo1319,Saint Lucian Creole French,15.3947,-61.3641
skf,tupi1275,Mekens,-13.054,-62.0927
qxl,quec1387,Tungurahua Highland Quichua,-1.35447,-78.3953
mnd,tupi1275,Salamãi,-12.0499,-61.25
slc,sali1297,Sáliba,5.30115,-69.3843
slj,book1242,Salumá,1.74782,-56.5107
esn,sign1238,Salvadoran Sign Language,13.7024,-89.5988
sap,book1242,Sanapaná (Retired),-22.11454,-58.90698
ztm,otom1299,San Agustín Mixtepec Zapotec,16.2202,-96.3362
icr,indo1319,San Andres Creole English,12.55352,-81.70425
spn,leng1261,Sanapaná,-22.49,-58.38
zpx,otom1299,San Baltazar Loxicha Zapotec,16.0409,-96.762
cuk,chib1249,San Blas Kuna,9.15686,-78.3075
hve,huav1256,San Dionisio del Mar Huave,16.3514,-94.7001
hue,huav1256,San Francisco del Mar Huave,16.2836,-94.5738
mat,otom1299,San Francisco Matlatzinca,19.3584,-100.058
pow,otom1299,San Felipe Otlaltepec Popoloca,18.3594,-97.7432
xso,uncl1493,San Francisco Solano,,
mjc,otom1299,San Juan Colorado Mixtec,16.46073,-97.95446
xtj,otom1299,Teita-Tataltepec Mixtec,17.1542,-97.3899
zab,otom1299,Western Tlacolula Valley Zapotec,17.0332,-96.5967
poe,otom1299,San Juan Atzingo Popoloca,18.22245,-97.37923
maa,otom1299,San Jerónimo Tecóatl Mazatec,18.1999,-96.8833
pps,otom1299,San Luís Temalacayuca Popoloca,18.6812,-97.5459
huv,huav1256,San Mateo del Mar Huave,16.2129,-95.0077
qvs,quec1387,San Martín Quechua,-6.9582,-76.6608
xtp,otom1299,San Miguel Piedras Mixtec,16.9944,-97.2056
mig,otom1299,San Miguel El Grande Mixtec,17.046881,-97.622482
