variant,display_name,silhouette,ratio,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
Spectral_baseline,Spectral direct,0.1428597793941922,2.43471385319647,0.611111111111111,0.15713484026367722,0.5072380952380952,0.13861851597287264
HT_heattrace,HT_heattrace,0.1584440720745053,2.7066525072043293,0.5527777777777778,0.20645449084513384,0.43657142857142855,0.17782418895322075
V8_mel,V8_mel,0.1295065625400455,2.094271446898018,0.6166666666666667,0.12717247935843998,0.5356190476190477,0.13222615135456683
V9_bark,V9_bark,0.1249187994257814,2.0916286270135056,0.5916666666666667,0.0840708108356753,0.5081904761904762,0.13097866402906622
V3_sqrt,V3_sqrt,0.1199030076858332,2.0681347585139203,0.6583333333333333,0.07222222222222222,0.6022857142857143,0.06849360663346515
V7_sparse,V7_sparse,0.1181566214353463,2.367770917930311,0.5444444444444445,0.07370277311900889,0.43695238095238087,0.06705844068512315
V1_linear,V1_linear,0.1027765938551877,2.3287079618981985,0.4333333333333334,0.13333333333333336,0.33199999999999996,0.11771151175649727
V6_dense,V6_dense,0.0987855877678218,2.223743430254204,0.5666666666666667,0.054433105395181716,0.4489523809523809,0.08179305782516032
V10_erb,V10_erb,0.0672703544117324,1.833793193894709,0.5194444444444445,0.07222222222222223,0.4139047619047619,0.07496780866212446
V5_wide,V5_wide,0.0634879051511294,1.944831060484853,0.4083333333333333,0.14792807728549273,0.2986666666666667,0.14650900616989007
V2_log,V2_log,0.037523475193383,1.781664909837993,0.4083333333333333,0.08407081083567533,0.3152380952380952,0.05402275492685115
V4_narrow,V4_narrow,0.0306555649843157,1.742815006605642,0.5638888888888889,0.12777777777777777,0.49523809523809514,0.0851984478156972
