variant,display_name,silhouette,ratio,mean_inter,mean_intra,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
Spectral_baseline,Spectral direct,0.14285977939419223,2.43471385319647,0.0659521809912352,0.02708826784907326,0.611111111111111,0.15713484026367722,0.5072380952380952,0.13861851597287264
HT_heattrace,HT_heattrace,0.15844407207450534,2.7066525072043293,6.328198188080866,2.3380164876122906,0.5527777777777778,0.20645449084513384,0.43657142857142855,0.17782418895322075
V8_mel,V8_mel,0.12950656254004556,2.094271446898018,73.68387020133359,35.18353378234339,0.6166666666666667,0.12717247935843998,0.5356190476190477,0.13222615135456683
V9_bark,V9_bark,0.1249187994257814,2.0916286270135056,80.79661229477075,38.62856496190471,0.5916666666666667,0.0840708108356753,0.5081904761904762,0.13097866402906622
V3_sqrt,V3_sqrt,0.11990300768583322,2.0681347585139203,69.13721347818048,33.42974300565392,0.6583333333333333,0.07222222222222222,0.6022857142857143,0.06849360663346515
V7_sparse,V7_sparse,0.11815662143534635,2.367770917930311,116.39441449810225,49.15780222515936,0.5444444444444445,0.07370277311900889,0.43695238095238087,0.06705844068512315
V1_linear,V1_linear,0.10277659385518773,2.3287079618981985,122.54287302389783,52.622688215489895,0.4333333333333334,0.13333333333333336,0.33199999999999996,0.11771151175649727
V6_dense,V6_dense,0.09878558776782183,2.2237434302542036,117.23464580942314,52.71950181591842,0.5666666666666667,0.054433105395181716,0.4489523809523809,0.08179305782516032
V10_erb,V10_erb,0.06727035441173246,1.833793193894709,60.78953471396219,33.1496130078082,0.5194444444444445,0.07222222222222223,0.4139047619047619,0.07496780866212446
V5_wide,V5_wide,0.06348790515112948,1.9448310604848535,192.77609270076763,99.12228193882704,0.4083333333333333,0.14792807728549273,0.2986666666666667,0.14650900616989007
V2_log,V2_log,0.03752347519338309,1.781664909837993,64.65327133877497,36.288120724482305,0.4083333333333333,0.08407081083567533,0.3152380952380952,0.05402275492685115
V4_narrow,V4_narrow,0.030655564984315774,1.742815006605642,27.315285356169912,15.673083633454572,0.5638888888888889,0.12777777777777777,0.49523809523809514,0.0851984478156972
